time (s),C_1 (V),C_2 (V),C_3 (V),C_4 (V)
-2.3720000000000003e-07,0.0288470357191,0.000441405871091,-3.70518326527e-05,0.0359344899375
-2.368e-07,0.0241734844167,0.000429784460133,-2.0838581142e-05,0.0240825603437
-2.3639999999999997e-07,0.0351258052979,0.000483189285407,-4.94767201599e-06,0.0375744046364
-2.3599999999999994e-07,0.0316266331356,0.000475754480017,-2.43385519134e-05,0.0402473306935
-2.355999999999999e-07,0.0351710326504,0.00045368504771,-1.30454810569e-05,0.0487180866953
-2.3519999999999988e-07,0.02535955864,0.000463332940964,-8.8493594667e-06,0.0462932160776
-2.3479999999999985e-07,0.0306060595904,0.000432779453835,-2.27301554987e-05,0.046745999502
-2.3439999999999982e-07,0.0353383587208,0.000450854050135,-4.05507965479e-06,0.0432124894764
-2.339999999999998e-07,0.0290538312402,0.00042848757715,-5.57310285513e-06,0.0365339007881
-2.3360000000000019e-07,0.0252269592602,0.000446783109242,-2.53753176658e-05,0.0370905057248
-2.3320000000000016e-07,0.0370674103033,0.00045050202976,-2.99360322533e-05,0.0387920623366
-2.3280000000000013e-07,0.0293459824752,0.000414221322304,-5.15495390864e-05,0.0395439889003
-2.324000000000001e-07,0.0287010113243,0.000443193378998,-3.1989891897e-05,0.0422934091371
-2.3200000000000007e-07,0.0249600841198,0.000435892671486,1.28059742274e-05,0.0417377052549
-2.3160000000000004e-07,0.0223128858488,0.000480560668884,-4.18182600988e-05,0.0463030438591
-2.312e-07,0.0234366802033,0.000458043427812,-3.82036225637e-05,0.0341164341848
-2.3079999999999998e-07,0.0231233041268,0.000437560931453,-1.32654501358e-05,0.0446244629752
-2.3039999999999995e-07,0.0327522342559,0.000433181744674,-1.89493735088e-05,0.038421267895
-2.2999999999999992e-07,0.0367933546659,0.000452911824128,-3.11432521557e-05,0.0364584496897
-2.2959999999999989e-07,0.0207203614991,0.000428200376825,-3.24485345045e-05,0.0399224178586
-2.2919999999999986e-07,0.034260005923,0.000472977312421,-2.11699666688e-05,0.0431960795727
-2.2879999999999983e-07,0.0284113606904,0.000421348395897,-1.43591196975e-05,0.0332982929144
-2.283999999999998e-07,0.0349747331347,0.000474395189574,-1.56822648132e-05,0.0387024784181
-2.2799999999999977e-07,0.0317473115865,0.000452065536892,-1.39252514346e-05,0.0459788900521
-2.2760000000000016e-07,0.033113459358,0.000438182457956,-1.95994867245e-05,0.0368457262125
-2.2720000000000013e-07,0.0316819327418,0.000462070789794,-3.10458695749e-05,0.0396261711325
-2.268000000000001e-07,0.0357271556277,0.000444377262751,-5.63965631882e-05,0.0471212666202
-2.2640000000000007e-07,0.0296244106721,0.000453025919991,-2.41335305618e-05,0.0431249218713
-2.2600000000000004e-07,0.032871713629,0.000452773195831,-5.03980402136e-05,0.0334603826236
-2.256e-07,0.0319074850995,0.0004128937867,-6.29697378026e-05,0.0463234980311
-2.2519999999999998e-07,0.0260773079935,0.000439913823875,-2.04106186284e-05,0.0405611677747
-2.2479999999999995e-07,0.0341587315779,0.000440369596845,-5.29378884239e-05,0.0467559646536
-2.2439999999999992e-07,0.036212959094,0.000424723135913,-7.02978203772e-05,0.0300726059545
-2.239999999999999e-07,0.019124984974,0.000422878811276,-2.80423414661e-05,0.0396125295851
-2.2359999999999986e-07,0.0277752859984,0.000463764917711,-4.3512874865e-05,0.0472224687878
-2.2319999999999983e-07,0.0271303334739,0.000429707438825,-3.40806703316e-05,0.0416545032244
-2.227999999999998e-07,0.0251196336467,0.000426990559464,-3.87809377862e-05,0.0450552881416
-2.2239999999999977e-07,0.0300630799029,0.00042419984811,-2.94921511086e-05,0.0345826496091
-2.2200000000000016e-07,0.0337427773047,0.000451606867975,1.37091533979e-05,0.0314139037114
-2.2160000000000013e-07,0.0317316583823,0.000401719416166,-3.15390677424e-05,0.033059005877
-2.212000000000001e-07,0.0345865066629,0.000434747721674,-2.05210769782e-05,0.0405980667751
-2.2080000000000007e-07,0.0345065828878,0.000450437631598,-3.57499100501e-05,0.041721658567
-2.2040000000000004e-07,0.0315349560697,0.000419167202571,-2.16115090298e-05,0.0270142823178
-2.2e-07,0.0305892049801,0.00041558047724,-4.85616199439e-05,0.0390996525716
-2.1959999999999998e-07,0.0327761319932,0.000434701087559,-3.80016140407e-05,0.0311442346033
-2.1919999999999995e-07,0.0332351576071,0.000420477858419,-2.47304151999e-05,0.0444401612226
-2.1879999999999992e-07,0.0382793822791,0.000401268446026,-7.19558493001e-05,0.0415005672444
-2.183999999999999e-07,0.0402181118261,0.000438398928987,-2.88603930967e-05,0.0371548833977
-2.1799999999999986e-07,0.0388531840872,0.00041295567588,-4.97756093973e-05,0.0351220017951
-2.1759999999999983e-07,0.0310974835884,0.000418712313892,-3.90514718602e-05,0.0337034950685
-2.171999999999998e-07,0.020641857991,0.000423947424302,-2.49701958383e-05,0.0306501400378
-2.1679999999999977e-07,0.0267643330153,0.000431722669071,-2.88317246595e-05,0.034652747931
-2.1640000000000016e-07,0.0356640841346,0.00047350504403,-4.8024221207e-05,0.0366770101432
-2.1600000000000013e-07,0.0349740835372,0.000434168460919,-4.3634686037e-05,0.0401511949208
-2.156000000000001e-07,0.0273415108677,0.000422547798743,-2.17751738383e-05,0.0383899731282
-2.1520000000000007e-07,0.0326593092177,0.000434408464143,-3.87612903724e-05,0.0440047632623
-2.1480000000000004e-07,0.0331465306226,0.00041249377015,-5.42338109808e-05,0.0376837721746
-2.1440000000000001e-07,0.0297043344472,0.000427216045232,-3.68900805479e-05,0.0359532188345
-2.1399999999999998e-07,0.0332201609854,0.000417069106037,-4.17813669192e-05,0.0433637898136
-2.1359999999999995e-07,0.0240840564948,0.000418223429611,-3.25962236384e-05,0.0395297676045
-2.1319999999999992e-07,0.0334998371545,0.000409435413452,-3.35654347437e-05,0.0370612808224
-2.127999999999999e-07,0.0209268077742,0.000409163061669,-3.84565965505e-05,0.0365353420097
-2.1239999999999986e-07,0.0219648343045,0.000422438752977,-1.54579953523e-05,0.041189053813
-2.1199999999999983e-07,0.0233075337019,0.000444466869487,-3.02579369163e-05,0.0366400343087
-2.115999999999998e-07,0.0235739850905,0.000407998143369,-3.18418989191e-05,0.0304923204426
-2.1119999999999977e-07,0.0317910814192,0.000431709593302,-6.37074977858e-05,0.0414740757737
-2.1080000000000017e-07,0.0278172583785,0.000419220097968,-3.51525446167e-05,0.0423146549333
-2.1040000000000014e-07,0.0269664556254,0.000427189825242,-4.62998099392e-05,0.0408419126365
-2.100000000000001e-07,0.0325962074567,0.000415297610359,-5.87839282816e-05,0.039290897334
-2.0960000000000008e-07,0.0246667058673,0.000416972951638,-3.13359684078e-05,0.0364662960824
-2.0920000000000005e-07,0.0339810794685,0.000434052625811,-5.74595934013e-05,0.0431397205871
-2.0880000000000002e-07,0.0353953603189,0.000397561838524,-6.69961468084e-05,0.0418536386173
-2.0839999999999999e-07,0.0239639834035,0.000409395933291,-2.71205288591e-05,0.0415223229397
-2.0799999999999996e-07,0.0359101069625,0.00039277923773,-6.49734794861e-05,0.035351034971
-2.0759999999999993e-07,0.0278353353497,0.000407072602445,-2.61601094389e-05,0.0427288932446
-2.071999999999999e-07,0.0283663335722,0.000415909057623,-3.80168376723e-05,0.0430890380125
-2.0679999999999987e-07,0.0379074632656,0.000425614301255,-7.04329413129e-05,0.0336188215483
-2.0639999999999984e-07,0.0322386564221,0.00044910426219,-2.55628720624e-05,0.0389379260782
-2.059999999999998e-07,0.0260682345834,0.000410688696569,-1.50823848089e-05,0.0408726136852
-2.0559999999999978e-07,0.0353347079363,0.000407076495839,-4.16991509264e-05,0.0357116454002
-2.0520000000000017e-07,0.0342109298799,0.000395993239386,-2.66971287784e-06,0.0464650567342
-2.0480000000000014e-07,0.0241716799792,0.000397201673733,-1.08516133623e-05,0.0436326929089
-2.044000000000001e-07,0.0258102070075,0.000405861987406,-1.93379934644e-05,0.0411519499216
-2.0400000000000008e-07,0.028260658728,0.000400076405285,-5.56459043874e-05,0.0374027036782
-2.0360000000000005e-07,0.039181105094,0.000378952915454,-2.79076466104e-05,0.0412014147919
-2.0320000000000002e-07,0.0206142582465,0.000399100748962,-3.38126857532e-05,0.0397805797588
-2.028e-07,0.0231109594461,0.000365130035346,-5.49559969222e-05,0.0413437814172
-2.0239999999999996e-07,0.0306360574905,0.000414555054763,-3.79113258095e-05,0.0397785564605
-2.0199999999999993e-07,0.0277002819348,0.000429267764697,-4.15563943097e-05,0.0416722542327
-2.015999999999999e-07,0.0425030605402,0.000392429800378,-3.71767986799e-05,0.0403644631337
-2.0119999999999987e-07,0.0374833552632,0.000386155688809,-3.46112028929e-05,0.0357787169237
-2.0079999999999984e-07,0.0242347584572,0.000360521678953,-2.56818450289e-05,0.04164017017
-2.003999999999998e-07,0.0284843810368,0.00038916593059,-3.57466969872e-05,0.039783103643
-1.9999999999999978e-07,0.0190067605581,0.000392384677799,1.02741294538e-07,0.0378148837667
-1.9960000000000017e-07,0.0295799609739,0.000381557963463,-6.53725512093e-05,0.0466727463249
-1.9920000000000014e-07,0.0260852614883,0.00042623466826,-3.21708723204e-05,0.0386203241255
-1.988000000000001e-07,0.0193044834305,0.000430740736099,-7.09732878025e-07,0.0329421528336
-1.9840000000000008e-07,0.0233207049314,0.000416255527781,6.29138911608e-06,0.0359410697315
-1.9800000000000005e-07,0.0255252851639,0.00039503487912,-4.7585687018e-05,0.043647396164
-1.9760000000000002e-07,0.0195205106866,0.000377926274808,-7.16191063402e-05,0.0449066607002
-1.972e-07,0.0351008854341,0.000385875390982,-2.0976537955e-05,0.0373377602268
-1.9679999999999996e-07,0.0283243565354,0.000370987545373,-3.7426424562e-05,0.0449956299458
-1.9639999999999993e-07,0.0305141846184,0.000362913397746,-1.19624530198e-05,0.0417531186435
-1.959999999999999e-07,0.0306474103127,0.000394438594719,-7.00547568267e-05,0.0258305224311
-1.9559999999999987e-07,0.0378018047195,0.00036400695811,-4.85841173213e-06,0.036902152719
-1.9519999999999984e-07,0.0176646851469,0.00039792892118,-4.32067782385e-05,0.0489908128697
-1.947999999999998e-07,0.0274049572181,0.000394668300776,-3.66525397403e-05,0.0433290654514
-1.9439999999999978e-07,0.0251003832091,0.000361698855786,-5.32718874747e-05,0.0308027651813
-1.9400000000000018e-07,0.0424716307316,0.000401760459552,-5.27153640287e-05,0.0506521992106
-1.9360000000000015e-07,0.033340259688,0.000365076959739,-3.17877064226e-05,0.0360370588209
-1.9320000000000012e-07,0.0332339585293,0.000402856811089,-1.9485346158e-05,0.0470810870361
-1.9280000000000009e-07,0.0280207337346,0.000402751389099,-2.50370812137e-06,0.0503155982774
-1.9240000000000006e-07,0.0308460055385,0.00038687477787,-5.00173725886e-05,0.0415263904911
-1.9200000000000003e-07,0.0329483824316,0.000387820482859,-6.10133445589e-05,0.0343936237227
-1.916e-07,0.0252090615686,0.000396672324417,-3.66670357762e-05,0.0380597680528
-1.9119999999999997e-07,0.0369260332081,0.000411297978507,-3.21004014695e-05,0.0528643790353
